乌力,石,木,皮,骨,线,1,10,4.50,20,12,15,25,150,11,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,1,1,6,100250,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
乌力乌力,石,木,骨,线,牙,2,20,4.50,22,23,11,23,100,11,0,40,60,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,6,100251,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
乌力斯坦,石,木,皮,骨,线,3,15,4.50,22,17,19,17,150,11,100,0,0,0,0,0,0,0,0,0,1,20,,,,,,0,1,1,6,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
乌力布鲁,石,木,骨,线,牙,4,10,4.50,25,23,19,33,300,-1,0,0,70,30,0,0,0,0,0,0,1,150,11,,,,,1,10,10,7,100253,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
黑乌力,石,木,皮,骨,线,5,20,4.50,22,22,24,27,300,-1,50,0,0,50,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1,10,10,7,100388,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
乌力斯坦,石,木,皮,骨,线,6,25,4.50,30,24,27,24,100,11,50,0,0,50,0,0,0,0,0,0,1,20,,,,,,2,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,1
布比,肉,鱼,串,卵,盐,11,15,4.50,42,20,16,12,240,5,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100254,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,2
金布伊,肉,鱼,串,卵,盐,12,25,4.50,31,20,32,12,270,-1,0,0,30,70,0,0,0,0,0,0,1,2,3,40,,,,1,10,10,7,100255,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,2
布伊,肉,鱼,串,卵,盐,13,22,4.50,44,21,16,13,240,5,60,40,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100256,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,2
布伊比,肉,鱼,串,卵,盐,14,16,4.50,32,26,15,18,240,5,0,40,60,0,0,0,0,0,0,0,1,3,,,,,,0,2,0,5,100257,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,2
卡布伊,肉,鱼,串,卵,盐,15,23,4.50,30,28,14,20,240,5,100,0,0,0,0,0,0,0,0,0,1,3,,,,,,1,2,0,5,100258,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,2
加美,肉,鱼,米,卵,饮用水,21,22,4.50,22,23,19,23,210,7,0,0,60,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,5,100259,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,7
加比,肉,鱼,米,卵,饮用水,22,20,4.50,21,22,18,28,210,7,50,0,0,50,20,0,0,0,0,0,1,60,,,,,,0,0,1,5,100260,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,7
加比奥,肉,鱼,米,卵,饮用水,23,18,4.50,22,22,18,28,240,5,0,0,0,100,0,0,0,0,0,0,1,2,,,,,,0,0,1,5,100261,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,7
加斯,肉,鱼,米,卵,饮用水,24,16,4.50,21,22,18,25,210,5,0,0,30,70,0,0,0,0,0,20,1,90,,,,,,0,0,1,5,100262,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,7
乌宝宝,肉,鱼,米,卵,饮用水,31,13,4.50,17,20,10,32,150,11,30,0,0,70,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100263,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,8
威威,肉,鱼,米,卵,饮用水,32,15,4.50,18,21,7,33,150,11,0,0,60,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100264,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,8
乌卡鲁,肉,鱼,米,卵,饮用水,33,17,4.50,23,19,11,26,150,11,30,70,0,0,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100265,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,8
威伯,肉,鱼,米,卵,饮用水,34,20,4.50,17,18,15,29,100,11,60,0,0,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100266,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,8
贝洛恩,木,皮,骨,线,牙,41,24,4.50,30,12,30,15,210,7,0,100,0,0,0,0,0,0,0,0,1,2,,,,,,0,0,0,5,100267,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,11
贝洛洛克,木,皮,骨,线,牙,42,19,4.50,29,14,32,13,210,7,70,30,0,0,60,0,0,-20,0,0,1,2,60,,,,,0,0,0,5,100268,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,11
贝洛宝克尔,木,皮,骨,线,牙,43,23,4.50,30,13,31,14,210,7,30,70,0,0,0,0,0,30,0,0,1,2,80,,,,,0,0,0,5,100269,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,11
